models,images
XOLO Era 2X,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-osuzakv4-7eht.png
XOLO Era 4G,https://s3n.cashify.in/cashify/product/img/xhdpi/5731ddea85ce0.jpg
Xolo Black 1X,https://s3n.cashify.in/cashify/product/img/xhdpi/572887cae8a40.jpg
Xolo Black,https://s3n.cashify.in/cashify/product/img/xhdpi/572888245a41b.jpg
Xolo Era 4X,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-uco20wds-fyjr.png
Xolo ZX,https://s3n.cashify.in/cashify/product/img/xhdpi/csh-smjgjz9x-hc85.png
Xolo Era 5X,https://s3n.cashify.in/cashify/product/img/xhdpi/01c93651-4362.jpg
