brand, product_name, product_link
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,https://www.newegg.com/global/in-en/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-11g-gaming/p/N82E16814126080
ASUS,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),https://www.newegg.com/global/in-en/asus-radeon-rx-5700-xt-rog-strix-rx5700xt-o8g-gaming/p/N82E16814126344
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-gtx-1660-ti-06g-p4-1667-kr/p/N82E16814487446
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING| 08G-P4-3173-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-rtx-2070-super-08g-p4-3173-kr/p/N82E16814487453
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,https://www.newegg.com/global/in-en/sapphire-radeon-rx-580-100411p8gocl/p/N82E16814202278
EVGA,EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card| 04G-P4-1357-KR| 4GB GDDR6| Dual Fan| Metal Backplate,https://www.newegg.com/global/in-en/evga-geforce-gtx-1650-super-04g-p4-1357-kr/p/N82E16814487482
EVGA,EVGA GeForce RTX 2080 SUPER BLACK GAMING| 08G-P4-3081-KR| 8GB GDDR6,https://www.newegg.com/global/in-en/evga-geforce-rtx-2080-super-08g-p4-3081-kr/p/N82E16814487461
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/global/in-en/msi-geforce-rtx-2060-rtx-2060-ventus-xs-6g-oc/p/N82E16814137396
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/global/in-en/msi-geforce-rtx-2070-super-rtx-2070-super-ventus-oc/p/N82E16814137438
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,https://www.newegg.com/global/in-en/xfx-radeon-rx-570-rx-570p427d6/p/N82E16814150795
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,https://www.newegg.com/global/in-en/evga-geforce-rtx-2080-ti-11g-p4-2487-kr/p/1FT-001K-003E4
MSI,MSI Radeon RX 5700 DirectX 12 RX 5700 EVOKE OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,https://www.newegg.com/global/in-en/msi-radeon-rx-5700-rx-5700-evoke-oc/p/N82E16814137467
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,https://www.newegg.com/global/in-en/asrock-radeon-rx-5700-xt-rx-5700-xt-challenger-d-8g-oc/p/N82E16814930020
GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,https://www.newegg.com/global/in-en/gigabyte-radeon-rx-5600-xt-gv-r56xtgaming-oc-6g/p/N82E16814932244
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,https://www.newegg.com/global/in-en/msi-radeon-rx-580-rx-580-armor-8g-oc/p/N82E16814137118
