models,images
Microsoft Surface 3, https://s3n.cashify.in/cashify/product/img/xhdpi/d52a3d12-3dd2.jpg
Microsoft Surface Pro 2, https://s3n.cashify.in/cashify/product/img/xhdpi/d52a3d12-3dd2.jpg
Microsoft Surface 2, https://s3n.cashify.in/cashify/product/img/xhdpi/d52a3d12-3dd2.jpg
Microsoft Surface Pro, https://s3n.cashify.in/cashify/product/img/xhdpi/d52a3d12-3dd2.jpg
Microsoft Surface Pro 4, https://s3n.cashify.in/cashify/product/img/xhdpi/d52a3d12-3dd2.jpg
Microsoft Surface Pro 3, https://s3n.cashify.in/cashify/product/img/xhdpi/d52a3d12-3dd2.jpg
